,T (s),Latitude,Longitude,acce_1,acce_2,acce_3,gyro_1,gyro_2,gyro_3
65,7431.499,49.225443,-122.999442,-0.215362511,6.832511299,6.780287882,0.222955739,0.204290816,0.011704368
66,7435.504,49.225493,-122.999351,0.587427936,3.470182794,7.086327308,0.397103273,-0.620432865,-0.980499773
67,7438.084,49.225521,-122.999308,-0.47323285,4.569278296,3.601504788,0.543379462,0.882559056,0.372382494
68,7446.284,49.225619,-122.999212,-2.998178222,4.461738005,4.21868872,0.987796442,0.93752507,0.112939883
69,7448.519,49.22566,-122.999197,-0.375780448,3.96160221,9.046854314,-0.094640602,-0.230309349,0.375305142
70,7450.509,49.225668,-122.999191,-0.038030276,6.030735,7.47677,-0.00115397,0.013813786,-0.038973751
71,7458.004,49.225718,-122.999192,-0.960442445,4.606870835,6.315561203,0.302143297,0.6377376,0.848639297
72,7466.284,49.225778,-122.999115,3.482630283,-15.28424503,-3.777576162,-2.149659064,-2.343499331,-0.68941383
73,7467.344,49.225779,-122.999104,4.147067293,-12.04316201,1.632823049,-2.174953909,-1.278868885,0.447023216
74,7468.384,49.225776,-122.999029,-3.633771054,-14.06480512,3.947348756,-0.2075779,1.213413782,1.38656481
75,7471.104,49.225773,-122.998998,0.097771804,-10.99367214,-3.783210032,1.413957567,-1.596318725,-1.126256031
76,7476.509,49.225791,-122.998926,6.367075371,-11.74538711,1.724548867,-3.775361538,2.099188208,0.103441069
77,7478.514,49.225817,-122.998827,3.948459345,-12.29460874,-1.599567652,-2.022296996,0.684026112,0.939075316
78,7479.509,49.225819,-122.998824,-2.322916741,-14.5678566,-1.689731888,-0.327242702,0.460834377,0.706348609
79,7483.514,49.225839,-122.998794,-1.102166736,-10.10758984,-3.811057807,1.104588024,0.213315676,-0.980432975
80,7488.509,49.225857,-122.998779,5.441582292,-8.896119465,-1.678999929,1.540053903,-1.539901525,-1.422278864
81,7491.204,49.225869,-122.998771,7.273245852,-13.51124894,-1.516814547,-3.041416545,0.995627238,-1.67531311
82,7493.324,49.225899,-122.998755,6.400612371,-14.42404249,-1.851390073,-3.392029669,2.391877921,-1.357990056
83,7494.144,49.225901,-122.998756,-3.646381736,-10.39420547,-5.212745668,0.965235455,-0.420694078,-0.743641446
84,7495.444,49.225908,-122.998761,4.929284792,-16.67427995,-2.905740368,-3.0329591,1.025860995,-1.066744126
85,7496.509,49.225917,-122.998766,2.165172209,-12.93121121,-3.532138486,-3.209503857,0.207314591,-0.031509904
86,7505.499,49.225927,-122.998859,-0.534292315,6.921696494,6.152477357,0.129412403,0.179276437,0.066220076
87,7506.504,49.225929,-122.998866,0.446241061,6.384811217,10.63147682,-0.808337044,-0.851685138,-0.18558433
88,7510.504,49.225944,-122.998891,-1.194370134,6.926308984,8.767280492,-0.039621313,-0.071985698,-0.064007701
89,7518.504,49.226041,-122.998948,2.693699722,-8.143747985,-0.443918912,1.589672023,-1.774418801,0.074627502
90,7525.264,49.226104,-122.998989,2.625409467,-11.2162996,2.55646187,-2.982289178,2.078120208,0.758698437
91,7583.499,49.226037,-122.998944,0.219906818,7.053545761,4.400741596,0.210188653,-0.392501872,0.127305674
92,7591.504,49.225996,-122.998794,0.366673493,6.667021184,7.246644168,-0.275805095,-0.078755921,-0.077437546
93,7621.509,49.226176,-122.998474,-0.356171412,5.108133585,12.11768879,-0.159272377,-0.153666441,-0.524617432
94,7624.364,49.226165,-122.998499,-0.691229981,5.110601449,6.18780172,-0.163216194,0.351988307,0.24515205
95,7638.204,49.22613,-122.998624,-0.632315488,5.319403229,4.909803413,-0.439779491,0.199893749,-0.136722006
96,7654.509,49.225933,-122.998761,-2.013993646,-12.24459934,-1.578661986,0.528052274,-0.49777107,-0.650497626
97,7655.504,49.225931,-122.998769,-0.085669817,-9.70413064,0.87811594,1.120262175,-0.738652185,-0.38363
98,7658.509,49.225922,-122.998786,0.966863906,-6.690246932,1.360649982,2.256853053,-2.274209843,1.144733758
99,7660.509,49.225923,-122.998796,2.625316955,-10.34569521,0.850059351,2.429174348,-1.578123905,-0.895399178
100,7661.064,49.225923,-122.998798,2.629073122,-13.04764946,-4.861105934,-2.946087612,-0.908117085,-0.092969143
101,7665.204,49.225937,-122.99885,2.960655754,-10.71584133,-1.762732402,-3.117909857,0.419325576,-0.454249538
102,7683.509,49.225935,-122.999049,4.867203,-14.08508512,0.960517845,-3.236033021,2.38808294,-0.126887875
103,7685.509,49.225928,-122.999059,1.340473832,-12.33578567,-2.103236686,-1.702062997,1.068732028,0.666659008
104,7688.509,49.225903,-122.999057,-2.348504264,-9.32675021,-4.016675041,1.03100489,-0.223706942,-0.836104293
105,7689.514,49.225896,-122.999051,-0.215790024,-8.1990869,1.73060819,1.237658748,-1.464711215,-0.529013396
106,7692.514,49.225853,-122.999022,1.282221326,-6.502172795,-0.550586115,2.190165214,-1.898683825,1.131256863
107,7698.204,49.225824,-122.998983,2.097619041,-11.5168406,-4.046622228,-3.25279963,1.914865192,-0.663799245
108,7702.284,49.225801,-122.99893,3.493965722,-13.73756639,-4.184374315,-3.590980507,1.084578788,-0.11253374
109,7708.284,49.22579,-122.998809,-0.045202499,-7.72890506,1.275073977,0.998470811,-2.010888045,-0.539602651
110,7730.364,49.225871,-122.998576,-2.372881789,-12.42570201,-0.788319077,-1.043511756,0.569006469,0.290159965
111,7736.884,49.225892,-122.998562,1.687178029,-12.60059942,0.29780259,-2.504826634,0.770576066,-0.782428302
112,7785.114,49.22585,-122.998685,-0.007540369,5.420085422,7.392772208,0.177585579,0.271875363,0.159935016
113,7815.204,49.225889,-122.998663,0.906189471,-9.567053225,1.298681133,0.115104562,-0.190287247,-0.192962815
114,7868.784,49.225879,-122.998646,-0.042897248,-8.199210438,2.866021609,1.250269688,-0.969045242,-0.643541666
115,7887.499,49.225892,-122.998694,-0.238614509,-9.643231263,0.980085352,0.003987209,0.010903625,-0.009781
116,7899.584,49.225888,-122.998706,1.140363068,-11.85624466,-0.624235712,-0.101368332,0.66409884,0.138429338
117,7903.384,49.22588,-122.998694,-0.789587964,-9.329920092,1.162414016,0.152270628,-0.726680813,-0.224067858
118,7910.244,49.225876,-122.998648,-1.588452135,-12.7474733,3.636200486,1.018170041,0.269544492,0.254091962
119,7910.744,49.225878,-122.998647,-1.535413508,-12.11209823,-0.870151427,-1.958581956,0.614669806,0.211575447
120,7919.284,49.225851,-122.998622,-0.406064717,-9.2326406,0.571840363,0.420549175,-0.354103265,-0.137194
121,7925.944,49.225823,-122.998592,-0.548924611,-10.33320026,0.41278272,0.5377,-0.236417143,-0.212807864
122,7951.484,49.225784,-122.998519,0.868308527,6.111954989,5.146584335,1.040679814,-0.339166325,-0.37727991
123,7960.079,49.225733,-122.998428,-0.238083069,8.887442067,8.20267466,-0.112740941,-0.108977417,0.217237059
124,7965.084,49.225713,-122.998348,-1.186116843,5.501643717,6.175068226,0.153684395,-0.297380596,-0.311597404
125,7966.784,49.225709,-122.998318,-0.969826694,6.222019168,6.328428054,0.434297637,0.34138309,-0.692208907
126,7971.844,49.225681,-122.99823,-0.805629421,6.243907293,7.415367953,0.706012807,0.464835073,0.287816832
127,7983.514,49.225674,-122.998075,1.383686027,5.446394787,8.302038699,0.552505178,-0.498263831,-0.415787956
128,7989.499,49.225715,-122.998031,-0.24822725,5.666057989,6.511102022,0.109779969,0.006731761,-0.198076018
129,8029.509,49.225777,-122.997592,0.944576116,-9.682827884,0.517125,0.011940828,0.025070344,0.011246
130,8031.514,49.225774,-122.997583,2.079262455,-9.865684729,-0.855889301,-0.873801239,-0.116258768,-0.084863596
131,8040.424,49.225772,-122.997531,0.581769021,-9.344171909,0.287290489,0.327561535,-0.482167263,-0.059003
132,8041.504,49.22577,-122.997522,2.298380472,-10.26657108,-8.813835285,-0.223939989,-0.235084865,0.297728215
133,8042.184,49.225769,-122.997517,-0.949501029,-10.98997275,0.695444301,0.022595181,-0.645085926,-0.227722633
134,8081.119,49.225766,-122.997357,-1.706773006,-10.82284959,-0.646297003,0.067889518,-0.472783637,-0.200946363
135,8100.509,49.225821,-122.997374,0.439108634,6.785719578,7.061218769,-0.643180003,0.378906339,-0.109907815
136,8117.509,49.225842,-122.997584,-1.180959433,4.547857518,8.842996364,0.240446514,0.541319805,0.691528135
137,8127.304,49.225822,-122.997593,-1.604046,6.079065044,7.686546203,-0.301112213,-1.368915316,-0.48399407
138,8128.504,49.225816,-122.997592,-3.055042599,8.439169234,9.612406686,-0.683727177,0.263991067,-0.01285727
139,8129.224,49.225811,-122.997587,0.444114078,5.824618653,6.276295414,0.647087173,0.053903776,-0.190373695
140,8133.504,49.225786,-122.997593,-1.903743217,6.123105406,8.569113232,-0.307725676,-0.085315808,0.165129064
141,8134.504,49.225782,-122.997594,-0.790432135,4.707177135,8.266050852,-0.157293673,-0.087024164,0.206993105
