,,,,,,,,,,,,1,2,3,4,5,,,,,,
61cb2d9b-3c6b-4e90-952e-f57ac0cfe387,8.610540138,7.670876409,12.35151881,8.647033991,10.00388812,16.9791373,11.14271141,11.86072134,9.985361291,10.59620177,,8.610540138,7.670876409,7.670876409,7.670876409,7.670876409,,,,,,
34650097-9824-42dd-8fb5-4b701e5895a3,9.305014012,8.776124781,8.012044066,7.099207393,10.03596928,16.28021314,2.664103313,3.954875455,10.62327901,9.362364787,,9.305014012,8.776124781,8.012044066,7.099207393,7.099207393,,,,,,
efb0b539-12aa-4a68-b81d-fe15c790b093,4.118137774,12.0332749,12.55061252,10.25451771,9.718148052,11.88913608,9.332593698,9.626122463,10.20894256,14.1851514,,4.118137774,4.118137774,4.118137774,4.118137774,4.118137774,,,,,,
0fb611ea-9a54-44fc-b992-11962a5de8d0,9.562361571,11.79564331,5.461315868,5.630167601,10.44080678,4.788136369,7.043643049,8.085138527,4.38841533,8.072853113,,9.562361571,9.562361571,5.461315868,5.461315868,5.461315868,,,,,,
e81934a3-9140-4eab-b1c5-a84554c7e72a,3.535146895,9.442646889,3.062554237,7.284208345,6.582003031,3.423454878,3.750018597,7.546721319,11.49565791,9.469743066,,3.535146895,3.535146895,3.062554237,3.062554237,3.062554237,,,,,,
5af53aaf-f229-4e25-9b22-937544b03cac,7.783679303,19.55955103,18.76331358,12.02096315,8.709794626,7.700783218,14.81785897,12.56256953,6.706496052,4.040073119,,7.783679303,7.783679303,7.783679303,7.783679303,7.783679303,,,,,,
3c61db0d-cfb0-4f51-83e2-4fe05804adba,8.057900637,5.739070565,5.189316076,9.698414845,8.359594682,6.539772282,13.00513362,12.85112338,15.7691824,2.490578204,,8.057900637,5.739070565,5.189316076,5.189316076,5.189316076,,,,,,
11242850-8572-4e02-ba62-b239fb571ddd,8.579512095,9.279914084,8.10458241,11.64696709,10.73886655,4.312556395,5.86385591,5.214634514,7.241054992,8.4807971,,8.579512095,8.579512095,8.10458241,8.10458241,8.10458241,,,,,,
3d529c4e-08f8-4ea5-abbe-dc882b204b2c,5.798980576,4.193917413,7.157126844,5.173723678,8.344486018,8.069290506,4.924700208,4.439937721,5.680545101,8.630696963,,5.798980576,4.193917413,4.193917413,4.193917413,4.193917413,,,,,,
9b5d829b-c61e-428c-b15a-80d46fc339db,18.53492333,4.704933356,5.127060481,7.40854516,8.305105157,22.90014347,22.19043681,20.69891822,4.57649004,14.16960007,,18.53492333,4.704933356,4.704933356,4.704933356,4.704933356,,,,,,
d1e64ea1-044f-44c5-aff2-e9af1632871f,5.89352513,5.84004706,8.865925667,8.770863946,11.26271376,8.934810376,10.36752713,5.685422518,6.860639922,6.626542112,,5.89352513,5.84004706,5.84004706,5.84004706,5.84004706,,,,,,
25f7ca57-4fd3-4faa-a66f-46cb2c727237,8.981930828,4.162982696,7.254930287,5.713725579,8.480136513,5.55942965,4.131268219,5.809033603,7.093447933,4.416590308,,8.981930828,4.162982696,4.162982696,4.162982696,4.162982696,,,,,,
