,,,,,,,1,2,3,4,5
56d4d624-c53c-4c4a-9357-47faf991e774,19.97579312,35.4866803,44.06995034,60.55679181,31.40374643,,19.97579312,19.97579312,19.97579312,19.97579312,19.97579312
660595d5-c286-47d6-bbca-f84226796da7,4.171826732,4.171826732,4.64184157,12.27437117,13.58292432,,4.171826732,4.171826732,4.171826732,4.171826732,4.171826732
a71e404f-d8cb-4d4b-a0a9-1a0224c06193,20.92150992,16.65323799,35.71632328,39.50426617,54.15440783,,20.92150992,16.65323799,16.65323799,16.65323799,16.65323799
7d7a7cf6-3284-4308-a86d-5518187424c4,9.326261491,6.747815369,9.330999642,13.51182819,62.48336462,,9.326261491,6.747815369,6.747815369,6.747815369,6.747815369
9d91e5f7-5a91-4030-ad67-d1a18a07506e,16.73003192,5.732191603,47.59778137,5.973808194,11.76631343,,16.73003192,5.732191603,5.732191603,5.732191603,5.732191603
47ce7d12-68dd-4753-ae74-52e51306b273,13.58225268,19.37143095,30.31267959,35.20790988,16.48033973,,13.58225268,13.58225268,13.58225268,13.58225268,13.58225268
2ebe1a9f-8b31-494f-9b20-cca56657683e,9.095149118,8.096340737,51.60738238,77.07804702,9.754230139,,9.095149118,8.096340737,8.096340737,8.096340737,8.096340737
3f8828cd-ad32-4608-b781-874dbfa99d98,13.06195026,11.42449916,14.09907793,14.07791427,34.59727521,,13.06195026,11.42449916,11.42449916,11.42449916,11.42449916
a3f1a5b6-b9cb-4033-bee2-3133fe2c8340,14.92314665,15.25214492,9.034589176,9.034589176,33.04696637,,14.92314665,14.92314665,9.034589176,9.034589176,9.034589176
0ccf19f6-06f3-45f1-918e-0fbe5e48d74d,7.206112819,24.98618761,3.816406427,17.92946339,19.63493817,,7.206112819,7.206112819,3.816406427,3.816406427,3.816406427
b7355b91-74e5-431a-ba95-f0154aa1a906,58.58513155,92.01429858,72.52749535,93.53652407,41.11737195,,58.58513155,58.58513155,58.58513155,58.58513155,41.11737195
f137f9ba-3f11-4d0c-9f1e-85dcffb56b25,3.062383,23.11265333,59.25569297,76.22570857,92.97984327,,3.062383,3.062383,3.062383,3.062383,3.062383
1ed02851-d2bf-408a-a4ff-9b88e7f7bb29,56.89915361,41.46570635,83.64134249,10.8785642,51.12552497,,56.89915361,41.46570635,41.46570635,10.8785642,10.8785642
b464427b-d567-4477-b389-9d3b3a1bd178,13.04465803,67.40870187,57.24818779,57.24818779,45.69931931,,13.04465803,13.04465803,13.04465803,13.04465803,13.04465803
69114267-5f0e-4f61-8049-3f5691c0c8b9,71.60579838,29.08220334,22.99658588,33.20595144,12.94706186,,71.60579838,29.08220334,22.99658588,22.99658588,12.94706186
1d2034df-0d49-4ef1-8349-1009148cf4fa,13.92883707,11.76162621,76.86215477,16.78437468,18.44246157,,13.92883707,11.76162621,11.76162621,11.76162621,11.76162621
78430c01-c2b2-4075-a147-d5cc8fcaad7e,16.45405072,13.06673996,7.997587711,12.6279172,6.570532051,,16.45405072,13.06673996,7.997587711,7.997587711,6.570532051
c900c6c8-5b9d-4161-a7c8-03cc787208c4,4.380321103,5.712032543,17.15346957,8.350681107,12.6931256,,4.380321103,4.380321103,4.380321103,4.380321103,4.380321103
00f2733d-38d7-4077-b8f3-4f5daf911114,17.81798533,17.67342675,38.56655176,17.87919022,18.29773283,,17.81798533,17.67342675,17.67342675,17.67342675,17.67342675
48bec0b5-0916-430a-90d3-4673f14eb87e,14.11787916,89.12621434,26.74183866,13.52115824,23.47395597,,14.11787916,14.11787916,14.11787916,13.52115824,13.52115824
76617a3d-f366-44eb-a8fe-76038b4af3a8,44.44266365,56.34395503,76.04546514,57.23110282,22.55603778,,44.44266365,44.44266365,44.44266365,44.44266365,22.55603778
da34ae8b-28e9-426b-a308-211219b63897,36.99620489,35.24689334,35.24689334,36.8882427,36.8882427,,36.99620489,35.24689334,35.24689334,35.24689334,35.24689334
5fd6a8d3-04d5-4397-8e55-35edbb8c56d4,6.885263842,8.423943519,7.354351851,4.267894709,3.616042626,,6.885263842,6.885263842,6.885263842,4.267894709,3.616042626
