,,,,,,,K=1,K=2,K=3,K=4,K=5
31ffe60e-58e6-41a5-b356-5aeb7e4a41f8,7.374068939,2.395939477,9.368898664,7.875721671,5.345829925,,7.374068939,2.395939477,2.395939477,2.395939477,2.395939477
4e85fade-1ff0-4bcb-9dfe-effe7ce9c642,12.27612261,10.6282216,40.78817231,15.72102377,27.52318114,,12.27612261,10.6282216,10.6282216,10.6282216,10.6282216
35e4d320-e7ed-4b7b-b0ce-f85ab289d80e,13.63580156,30.06284405,18.12024315,15.38540988,6.527317139,,13.63580156,13.63580156,13.63580156,13.63580156,6.527317139
3f82fe12-0f4b-41f2-9487-838ca8aea716,9.746711364,12.47491657,31.84496304,8.567533074,61.73759003,,9.746711364,9.746711364,9.746711364,8.567533074,8.567533074
9043824c-fbd0-4652-973e-de1a133861e6,17.56458703,91.00931201,20.68482773,31.93237345,17.67280704,,17.56458703,17.56458703,17.56458703,17.56458703,17.56458703
ccc518e1-9945-46e8-9bd6-4a9d7e9a5a95,44.12508424,44.12508424,52.0527642,54.85249327,54.85249327,,44.12508424,44.12508424,44.12508424,44.12508424,44.12508424
1458cf3f-2308-4747-90f7-18dbbc0abe6f,54.35895098,52.65345857,68.85141443,89.81852649,4.419513235,,54.35895098,52.65345857,52.65345857,52.65345857,4.419513235
06ad8444-60ff-438f-a983-75f58dbb9516,50.15469449,50.15469449,43.34215133,3.68940903,50.71575539,,50.15469449,50.15469449,43.34215133,3.68940903,3.68940903
b4ea6877-4d5d-42ff-92a6-1822978b8eee,96.90252456,67.40994739,67.40994739,82.17840669,3.409190866,,96.90252456,67.40994739,67.40994739,67.40994739,3.409190866
c0189fa7-3b36-4624-8e8d-2d84ffcbbc5d,34.448044,44.39554101,59.17631218,59.17631218,54.85805542,,34.448044,34.448044,34.448044,34.448044,34.448044
6e82129c-a789-469e-93d7-6e11eecd9f9d,42.82574399,8.297808195,22.68848958,4.020617584,45.10400683,,42.82574399,8.297808195,8.297808195,4.020617584,4.020617584
d5a39edc-8e1b-4ae9-acf6-b4c053386f18,0.946914112,26.32372236,26.32372236,63.24518538,106.8988696,,0.946914112,0.946914112,0.946914112,0.946914112,0.946914112
ab1024bf-f8d8-49f9-8360-4078af605405,2.416093918,41.4613852,5.629766245,5.629766245,8.807403664,,2.416093918,2.416093918,2.416093918,2.416093918,2.416093918
b9034c96-2996-46ba-9b6e-869f8045f02a,1.346752423,17.97179481,17.97179481,23.28329359,17.56433282,,1.346752423,1.346752423,1.346752423,1.346752423,1.346752423
