,,,,,,,,,,,,1,2,3,4,5
6cf76f78-ae62-4d74-8a96-8f9d3c4d2442,8.981898474,6.901746358,6.552147703,3.834510525,7.435326828,8.779895503,5.27673775,14.18429347,12.6442822,9.111297153,,8.981898474,6.901746358,6.552147703,3.834510525,3.834510525
ca9f7c1d-9572-4631-b01a-f6e92f38ca94,4.920522976,40.59464884,6.63731738,3.189918456,7.105466486,4.304930982,44.77676043,36.6394183,16.97910115,33.84789303,,4.920522976,4.920522976,4.920522976,3.189918456,3.189918456
0fb6cc04-8972-4bc6-ac5f-46b70e00911f,6.215073552,3.617294446,7.690593106,7.583551048,7.984642129,4.81565626,14.53599641,16.81023793,8.018792896,9.45950297,,6.215073552,3.617294446,3.617294446,3.617294446,3.617294446
c88f5950-7fb2-4a2d-9e54-cbd2c816d5dc,56.39220493,74.99554582,60.8705767,12.11466165,68.56787484,22.62952338,24.37613331,18.54410754,15.74616088,16.97488945,,56.39220493,56.39220493,56.39220493,12.11466165,12.11466165
4cf7403d-c4a1-4f34-8bda-f76c6a4d31da,70.64194877,5.49886614,8.556654974,65.06042094,6.274059363,6.274059363,53.04180757,45.55702174,65.95266832,47.80604856,,70.64194877,5.49886614,5.49886614,5.49886614,5.49886614
c3a3336a-1eff-41cc-b14a-b2d9c7a10c41,11.0243564,10.49870899,8.992829933,7.826801064,15.70357799,7.894790737,7.894790737,12.48576156,107.7443745,11.55663089,,11.0243564,10.49870899,8.992829933,7.826801064,7.826801064
b87ae799-c89a-424a-9830-ce62aecb0fbf,17.7789216,50.57485517,38.9002543,57.28979072,3.510393263,42.82962423,42.82962423,6.405918018,6.405918018,46.93035707,,17.7789216,17.7789216,17.7789216,17.7789216,3.510393263
121d7020-1476-425c-9268-7bd9e1e71796,49.98260078,29.36332119,31.6330447,28.34728606,9.030384939,43.41761726,35.67615207,35.67615207,3.187692925,12.44086581,,49.98260078,29.36332119,29.36332119,28.34728606,9.030384939
cdc4e070-705a-4e82-ba27-c5711339126b,15.26366097,7.120910266,7.120910266,68.10514802,6.832140087,10.27470529,10.27470529,6.609003536,12.02080596,41.55608576,,15.26366097,7.120910266,7.120910266,7.120910266,6.832140087
1e05f836-f76f-40e4-9150-522b03b89131,3.134298615,59.52043214,19.99334338,22.25429685,40.50318105,12.97822301,7.058702934,7.736076668,42.24578845,52.58437488,,3.134298615,3.134298615,3.134298615,3.134298615,3.134298615
fa78a610-2105-46f6-b557-59d29c0f953d,47.75539615,53.45823068,5.152205251,49.28936687,56.25345754,5.522918418,5.522918418,41.69247458,43.95183216,64.56525215,,47.75539615,47.75539615,5.152205251,5.152205251,5.152205251
2d9fd042-2909-41ce-81f2-95e1e59ac180,7.417422817,7.417422817,27.27231599,8.533017794,8.533017794,27.62622063,5.53322923,11.37155437,7.525855703,44.1919176,,7.417422817,7.417422817,7.417422817,7.417422817,7.417422817
eac3d520-b20b-4a5b-ba47-63b5784dcd73,6.142397973,6.142397973,5.222187836,6.091823286,7.330587774,6.428198212,6.428198212,12.97880088,50.37905653,7.57461156,,6.142397973,6.142397973,5.222187836,5.222187836,5.222187836
00e01250-124b-4aad-b99a-bf419ed98315,6.708845426,6.708845426,5.664390398,5.664390398,38.32829929,7.437325668,6.187168229,6.187168229,5.684261754,5.684261754,,6.708845426,6.708845426,5.664390398,5.664390398,5.664390398
0db32d31-9f2e-404d-96c9-df6c1f88814f,12.04430371,2.983273028,2.983273028,12.91647951,12.91647951,8.753817743,8.753817743,3.417489264,3.417489264,103.3389309,,12.04430371,2.983273028,2.983273028,2.983273028,2.983273028
0e7046ea-8f57-4fb6-8b94-4156eb09c712,4.77564724,4.77564724,55.40984756,4.773991167,10.54201893,10.54201893,63.85160024,4.514960435,13.39714128,54.6685011,,4.77564724,4.77564724,4.77564724,4.773991167,4.773991167
